id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
1,123,123,1,90,0,,2,0,0,0,0,0,1,12/4/2021,21-22/9/2021
1,130,131,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,140,140,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,148,148,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,153,153,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,158,159,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,160,159,2,100,0,,0,2,0,0,0,0,4,12/4/2021,21-22/9/2021
1,168,167,3,90,2,10.0,0,1,2,0,0,0,6,12/4/2021,21-22/9/2021
1,173,174,3,100,0,,0,0,2,0,0,0,7,12/4/2021,21-22/9/2021
1,175,174,3,100,0,,0,0,2,0,0,0,7,12/4/2021,21-22/9/2021
1,183,184,3,100,4,100.0,0,0,2,1,0,0,8,12/4/2021,21-22/9/2021
1,185,184,3,100,4,100.0,0,0,2,1,0,0,8,12/4/2021,21-22/9/2021
1,193,193,4,100,5,70.0,0,0,0,2,1,0,11,12/4/2021,21-22/9/2021
1,200,201,4,100,5,80.0,0,0,0,2,1,0,11,12/4/2021,21-22/9/2021
1,215,215,5,100,4,100.0,0,0,0,1,2,0,12,12/4/2021,21-22/9/2021
1,223,223,5,100,4,100.0,0,0,0,1,2,0,12,12/4/2021,21-22/9/2021
1,235,235,5,100,6,20.0,0,0,0,0,2,1,14,12/4/2021,21-22/9/2021
1,245,245,5,100,6,70.0,0,0,0,0,2,1,14,12/4/2021,21-22/9/2021
1,255,256,6,100,5,70.0,0,0,0,0,1,2,15,12/4/2021,21-22/9/2021
3,118,118,1,40,0,,2,0,0,0,0,0,1,11/4/2021,29/9/2021
3,130,130,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,138,139,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,140,139,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,145,145,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,153,152,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,158,158,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,163,163,2,100,0,,0,2,0,0,0,0,4,11/4/2021,29/9/2021
3,173,173,3,100,0,,0,0,2,0,0,0,7,11/4/2021,29/9/2021
3,183,182,3,100,0,,0,0,2,0,0,0,7,11/4/2021,29/9/2021
3,190,191,3,100,4,70.0,0,0,2,1,0,0,8,11/4/2021,29/9/2021
3,200,200,4,100,5,40.0,0,0,0,2,1,0,11,11/4/2021,29/9/2021
3,208,208,4,100,5,60.0,0,0,0,2,1,0,11,11/4/2021,29/9/2021
3,213,213,4,100,5,70.0,0,0,0,2,1,0,11,11/4/2021,29/9/2021
3,220,221,4,100,5,90.0,0,0,0,2,1,0,11,11/4/2021,29/9/2021
3,233,232,5,100,4,50.0,0,0,0,1,2,0,12,11/4/2021,29/9/2021
3,243,244,5,100,6,10.0,0,0,0,0,2,1,14,11/4/2021,29/9/2021
3,245,244,5,100,6,10.0,0,0,0,0,2,1,14,11/4/2021,29/9/2021
3,253,254,5,100,6,70.0,0,0,0,0,2,1,14,11/4/2021,29/9/2021
3,255,254,5,100,6,70.0,0,0,0,0,2,1,14,11/4/2021,29/9/2021
3,263,263,6,100,5,10.0,0,0,0,0,1,2,15,11/4/2021,29/9/2021
6,118,118,1,10,0,,2,0,0,0,0,0,1,11/4/2021,28/9/2021
6,130,130,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,138,139,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,140,139,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,145,146,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,153,152,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,158,158,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,163,163,2,100,0,,0,2,0,0,0,0,4,11/4/2021,28/9/2021
6,173,173,3,100,0,,0,0,2,0,0,0,7,11/4/2021,28/9/2021
6,183,183,3,100,4,70.0,0,0,2,1,0,0,8,11/4/2021,28/9/2021
6,208,207,4,100,5,70.0,0,0,0,2,1,0,11,11/4/2021,28/9/2021
6,213,214,4,100,5,70.0,0,0,0,2,1,0,11,11/4/2021,28/9/2021
6,215,214,4,100,5,70.0,0,0,0,2,1,0,11,11/4/2021,28/9/2021
6,223,222,4,100,5,90.0,0,0,0,2,1,0,11,11/4/2021,28/9/2021
6,233,233,5,100,6,10.0,0,0,0,0,2,1,14,11/4/2021,28/9/2021
6,245,245,5,100,6,30.0,0,0,0,0,2,1,14,11/4/2021,28/9/2021
6,250,250,5,100,6,50.0,0,0,0,0,2,1,14,11/4/2021,28/9/2021
6,263,264,6,100,5,20.0,0,0,0,0,1,2,15,11/4/2021,28/9/2021
6,265,264,6,100,5,20.0,0,0,0,0,1,2,15,11/4/2021,28/9/2021
7,125,125,1,90,0,,2,0,0,0,0,0,1,28/4/2021,19/9/2021
7,133,133,2,100,0,,0,2,0,0,0,0,4,28/4/2021,19/9/2021
7,140,141,2,100,0,,0,2,0,0,0,0,4,28/4/2021,19/9/2021
7,148,148,2,100,0,,0,2,0,0,0,0,4,28/4/2021,19/9/2021
7,153,153,2,100,0,,0,2,0,0,0,0,4,28/4/2021,19/9/2021
7,158,159,2,100,0,,0,2,0,0,0,0,4,28/4/2021,19/9/2021
